jornada,equipo,partidos_jugados,goles_marcados_pp,goles_encajados_pp,victorias_pp,empates_pp,Amarillo_pp,Amarillo-Rojo_pp,Córners_pp,Duelos_pp,Faltas cometidas_pp,Fuera de juego_pp,Pases exitosos_pp,Pases ges._pp,Posesión de balón en %_pp,Rojo_pp,Tiros a puerta_pp,goles_marcados_racha,goles_encajados_racha,victoria_racha,empate_racha,derrota_racha,Amarillo_racha,Amarillo-Rojo_racha,Córners_racha,Duelos_racha,Faltas cometidas_racha,Fuera de juego_racha,Pases exitosos_racha,Pases ges._racha,Posesión de balón en %_racha,Rojo_racha,Tiros a puerta_racha
14,FC Barcelona,14,3.0,1.0,0.7857142857142857,0.07142857142857142,1.7692307692307692,0.0,6.076923076923077,53.41461538461538,8.76923076923077,2.076923076923077,87.74076923076925,567.3076923076923,63.24307692307692,0.07692307692307693,16.53846153846154,3.0,0.6,0.8,0.0,0.2,1.8,0.0,5.2,52.19000000000001,10.0,2.8,88.042,588.4,64.05799999999999,0.0,15.0
15,FC Barcelona,15,2.8666666666666667,1.0666666666666667,0.7333333333333333,0.06666666666666667,1.8571428571428572,0.07142857142857142,5.714285714285714,53.31357142857143,8.785714285714286,2.142857142857143,87.47500000000001,566.5714285714286,62.82928571428572,0.07142857142857142,16.0,2.8,1.0,0.6,0.2,0.2,2.0,0.2,4.8,50.962,10.2,2.8,86.76199999999999,574.6,62.134,0.0,14.0
16,FC Barcelona,16,2.8125,1.125,0.6875,0.125,1.7333333333333334,0.06666666666666667,5.8,52.972,8.666666666666666,2.1333333333333333,87.526,568.4666666666667,62.966,0.06666666666666667,16.733333333333334,2.0,1.2,0.4,0.2,0.4,1.8,0.2,5.2,49.748000000000005,10.4,2.6,86.268,575.2,62.564,0.0,15.2
17,FC Barcelona,17,2.6470588235294117,1.1176470588235294,0.6470588235294118,0.11764705882352941,1.75,0.0625,5.6875,52.668125,9.0,2.25,87.425625,564.0,62.67875,0.0625,16.25,1.6,1.6,0.2,0.4,0.4,1.2,0.2,5.4,50.068000000000005,9.8,3.2,86.80199999999999,591.0,63.11,0.0,14.0
18,FC Barcelona,18,2.5555555555555554,1.1666666666666667,0.6111111111111112,0.1111111111111111,1.6470588235294117,0.058823529411764705,5.823529411764706,53.112941176470585,8.764705882352942,2.2941176470588234,87.49,575.4117647058823,63.207647058823525,0.058823529411764705,16.470588235294116,1.0,1.6,0.0,0.4,0.6,1.2,0.2,5.2,52.79599999999999,8.2,3.2,86.28999999999999,596.8,63.306,0.0,15.2
19,FC Barcelona,19,2.6842105263157894,1.1578947368421053,0.631578947368421,0.10526315789473684,1.5555555555555556,0.05555555555555555,6.111111111111111,52.78277777777778,8.88888888888889,2.2777777777777777,87.59333333333333,578.3888888888889,62.983333333333334,0.05555555555555555,16.61111111111111,1.2,1.8,0.0,0.4,0.6,1.0,0.2,6.2,51.14,9.2,2.8,87.21,607.2,62.30800000000001,0.0,16.8
20,FC Barcelona,20,2.6,1.15,0.6,0.15,1.631578947368421,0.05263157894736842,6.052631578947368,52.764736842105265,9.105263157894736,2.1578947368421053,87.32789473684211,572.6842105263158,62.69263157894737,0.05263157894736842,16.789473684210527,1.8,1.6,0.2,0.2,0.6,1.0,0.0,7.0,51.227999999999994,10.0,2.2,86.916,589.8,62.31,0.0,19.0
21,FC Barcelona,21,2.8095238095238093,1.1428571428571428,0.6190476190476191,0.14285714285714285,1.65,0.05,6.25,52.8495,9.1,2.25,87.26050000000001,576.5,62.9885,0.05,17.0,1.8,1.4,0.2,0.4,0.4,1.4,0.0,7.6,52.48199999999999,10.4,2.6,86.464,600.6,63.056000000000004,0.0,17.8
22,FC Barcelona,22,2.727272727272727,1.0909090909090908,0.6363636363636364,0.13636363636363635,1.5714285714285714,0.047619047619047616,6.619047619047619,53.06238095238095,9.142857142857142,2.142857142857143,87.38190476190476,581.2857142857143,63.149047619047614,0.047619047619047616,17.238095238095237,2.8,1.2,0.4,0.2,0.4,1.0,0.0,9.6,54.324,9.6,1.8,87.24199999999999,636.6,64.65400000000001,0.0,20.4
23,FC Barcelona,23,2.782608695652174,1.0869565217391304,0.6521739130434783,0.13043478260869565,1.7272727272727273,0.045454545454545456,6.545454545454546,53.28181818181818,9.090909090909092,2.1363636363636362,87.41636363636364,581.6818181818181,63.27090909090909,0.045454545454545456,16.954545454545453,3.0,1.0,0.6,0.2,0.2,2.0,0.0,9.0,53.855999999999995,10.2,1.6,87.166,603.0,63.486000000000004,0.0,18.6
24,FC Barcelona,24,2.7083333333333335,1.0416666666666667,0.6666666666666666,0.125,1.7391304347826086,0.043478260869565216,6.521739130434782,53.16478260869565,8.956521739130435,2.0869565217391304,87.37304347826087,577.5217391304348,63.00086956521739,0.08695652173913043,16.652173913043477,3.6,0.8,0.8,0.2,0.0,2.4,0.0,8.0,54.54,9.2,1.4,86.58000000000001,574.4,63.064,0.2,16.8
25,FC Barcelona,25,2.68,1.0,0.68,0.12,1.75,0.041666666666666664,6.416666666666667,53.08375,9.041666666666666,2.0833333333333335,87.35416666666667,575.125,62.75666666666667,0.08333333333333333,16.541666666666668,2.8,0.6,0.8,0.2,0.0,2.2,0.0,7.8,54.29600000000001,8.8,1.8,87.45400000000001,584.4,63.0,0.2,15.6
26,FC Barcelona,26,2.730769230769231,0.9615384615384616,0.6923076923076923,0.11538461538461539,1.72,0.04,6.28,53.318400000000004,8.84,2.04,87.3796,577.76,62.8708,0.08,16.48,3.0,0.4,1.0,0.0,0.0,2.0,0.0,6.4,55.194,7.8,1.2,87.856,582.8,62.4,0.2,14.4
